ABL1,NM_005157
CTNNB1,NM_001904
CUL3,NM_003590
CXCR4,NM_003467
CYLD,NM_001042355
CYSLTR2,NM_020377
DAXX,NM_001141970
DCUN1D1,NM_020640
DDR2,NM_006182
DICER1,NM_030621
DIS3,NM_014953
DNAJB1,NM_006145
DNMT1,NM_001379
DNMT3A,NM_022552
DNMT3B,NM_006892
DOT1L,NM_032482
DROSHA,NM_013235
DUSP4,NM_001394
E2F3,NM_001949
EED,NM_003797
EGFL7,NM_201446
EGFR,NM_005228
EIF1AX,NM_001412
EIF4A2,NM_001967
EIF4E,NM_001130678
ELF3,NM_004433
EP300,NM_001429
EPAS1,NM_001430
EPCAM,NM_002354
EPHA3,NM_005233
EPHA5,NM_004439
EPHA7,NM_004440
EPHB1,NM_004441
ERBB2,NM_004448
ERBB3,NM_001982
ERBB4,NM_005235
ERCC2,NM_000400
ERCC3,NM_000122
ERCC4,NM_005236
ERCC5,NM_000123
ERF,NM_006494
ERG,NM_182918
ERRFI1,NM_018948
ESR1,NM_001122740
ETV1,NM_001163147
ETV6,NM_001987
EZH1,NM_001991
EZH2,NM_004456
FAM175A,NM_139076
FAM46C,NM_017709
FAM58A,NM_152274
FANCA,NM_000135
FANCC,NM_000136
FAT1,NM_005245
FBXW7,NM_033632
FGF19,NM_005117
FGF3,NM_005247
FGF4,NM_002007
FGFR1,NM_001174067
FGFR2,NM_000141
FGFR3,NM_000142
FGFR4,NM_213647
FH,NM_000143
FLCN,NM_144997
FLT1,NM_002019
FLT3,NM_004119
FLT4,NM_182925
FOXA1,NM_004496
FOXL2,NM_023067
FOXO1,NM_002015
FOXP1,NM_001244814
FUBP1,NM_003902
FYN,NM_153047
GATA1,NM_002049
GATA2,NM_032638
GATA3,NM_002051
GLI1,NM_005269
GNA11,NM_002067
GNAQ,NM_002072
GNAS,NM_000516
GPS2,NM_004489
GREM1,NM_013372
GRIN2A,NM_001134407
GSK3B,NM_002093
H3F3A,NM_002107
H3F3B,NM_005324
H3F3C,NM_001013699
HGF,NM_000601
HIST1H1C,NM_005319
HIST1H2BD,NM_021063
HIST1H3A,NM_003529
HIST1H3B,NM_003537
HIST1H3C,NM_003531
HIST1H3D,NM_003530
HIST1H3E,NM_003532
HIST1H3F,NM_021018
HIST1H3G,NM_003534
HIST1H3H,NM_003536
HIST1H3I,NM_003533
HIST1H3J,NM_003535
HIST2H3C,NM_021059
HIST2H3D,NM_001123375
HIST3H3,NM_003493
HLA-A,NM_001242758
HLA-B,NM_005514
HNF1A,NM_000545
HOXB13,NM_006361
HRAS,NM_001130442
ICOSLG,NM_015259
ID3,NM_002167
IDH1,NM_005896
IDH2,NM_002168
IFNGR1,NM_000416
IGF1,NM_001111285
IGF1R,NM_000875
IGF2,NM_001127598
IKBKE,NM_014002
IKZF1,NM_006060
IL10,NM_000572
IL7R,NM_002185
INHA,NM_002191
INHBA,NM_002192
INPP4A,NM_001134224
INPP4B,NM_001101669
INPPL1,NM_001567
INSR,NM_000208
IRF4,NM_002460
IRS1,NM_005544
IRS2,NM_003749
JAK1,NM_002227
JAK2,NM_004972
JAK3,NM_000215
JUN,NM_002228
KDM5A,NM_001042603
KDM5C,NM_004187
KDM6A,NM_021140
KDR,NM_002253
KEAP1,NM_203500
KIT,NM_000222
KLF4,NM_004235
KMT2A,NM_001197104
KMT2B,NM_014727
KMT2C,NM_170606
KMT2D,NM_003482
KNSTRN,NM_033286
KRAS,NM_033360
LATS1,NM_004690
LATS2,NM_014572
LMO1,NM_002315
LYN,NM_002350
MALT1,NM_006785
MAP2K1,NM_002755
MAP2K2,NM_030662
MAP2K4,NM_003010
MAP3K1,NM_005921
MAP3K13,NM_004721
MAP3K14,NM_003954
MAPK1,NM_002745
MAPK3,NM_002746
MAPKAP1,NM_001006617
MAX,NM_002382
MCL1,NM_021960
MDC1,NM_014641
MDM2,NM_002392
MDM4,NM_002393
MED12,NM_005120
MEF2B,NM_001145785
MEN1,NM_000244
MET,NM_000245
MGA,NM_001164273
MITF,NM_198159
MLH1,NM_000249
MPL,NM_005373
MRE11A,NM_005591
MSH2,NM_000251
MSH3,NM_002439
MSH6,NM_000179
MSI1,NM_002442
MSI2,NM_138962
MST1,NM_020998
MST1R,NM_002447
MTOR,NM_004958
MUTYH,NM_001128425
MYC,NM_002467
MYCL1,NM_001033082
MYCN,NM_005378
MYD88,NM_002468
MYOD1,NM_002478
NBN,NM_002485
NCOA3,NM_181659
NCOR1,NM_006311
NEGR1,NM_173808
NF1,NM_001042492
NF2,NM_000268
NFE2L2,NM_006164
NFKBIA,NM_020529
NKX2-1,NM_001079668
NKX3-1,NM_006167
NOTCH1,NM_017617
NOTCH2,NM_024408
NOTCH3,NM_000435
NOTCH4,NM_004557
NPM1,NM_002520
NRAS,NM_002524
NSD1,NM_022455
NTHL1,NM_002528
NTRK1,NM_002529
NTRK2,NM_006180
NTRK3,NM_001012338
NUF2,NM_031423
NUP93,NM_014669
PAK1,NM_002576
PAK7,NM_177990
PALB2,NM_024675
PARK2,NM_004562
PARP1,NM_001618
PAX5,NM_016734
PBRM1,NM_018313
PDCD1,NM_005018
PDCD1LG2,NM_025239
PDGFRA,NM_006206
PDGFRB,NM_002609
PDPK1,NM_002613
PGR,NM_000926
PHOX2B,NM_003924
PIK3C2G,NM_004570
PIK3C3,NM_002647
PIK3CA,NM_006218
PIK3CB,NM_006219
PIK3CD,NM_005026
PIK3CG,NM_002649
PIK3R1,NM_181523
PIK3R2,NM_005027
PIK3R3,NM_003629
PIM1,NM_002648
PLCG2,NM_002661
PLK2,NM_006622
PMAIP1,NM_021127
PMS1,NM_000534
PMS2,NM_000535
PNRC1,NM_006813
POLD1,NM_002691
POLE,NM_006231
PPARG,NM_015869
PPM1D,NM_003620
PPP2R1A,NM_014225
PPP4R2,NM_174907
PPP6C,NM_002721
PRDM1,NM_001198
PRDM14,NM_024504
PREX2,NM_024870
PRKAR1A,NM_212471
PRKCI,NM_002740
PRKD1,NM_002742
PTCH1,NM_000264
PTEN,NM_000314
PTP4A1,NM_003463
PTPN11,NM_002834
PTPRD,NM_002839
PTPRS,NM_002850
PTPRT,NM_133170
RAB35,NM_006861
RAC1,NM_018890
RAC2,NM_002872
RAD21,NM_006265
RAD50,NM_005732
RAD51,NM_002875
RAD51B,NM_133509
RAD51C,NM_058216
RAD51D,NM_133629
RAD52,NM_134424
RAD54L,NM_001142548
RAF1,NM_002880
RARA,NM_000964
RASA1,NM_002890
RB1,NM_000321
RBM10,NM_001204468
RECQL,NM_032941
RECQL4,NM_004260
REL,NM_002908
RET,NM_020975
RFWD2,NM_022457
RHEB,NM_005614
RHOA,NM_001664
RICTOR,NM_152756
RIT1,NM_006912
RNF43,NM_017763
ROS1,NM_002944
RPS6KA4,NM_003942
RPS6KB2,NM_003952
RPTOR,NM_020761
RRAGC,NM_022157
RRAS,NM_006270
RRAS2,NM_012250
RTEL1,NM_032957
RUNX1,NM_001754
RXRA,NM_002957
RYBP,NM_012234
SDHA,NM_004168
SDHAF2,NM_017841
SDHB,NM_003000
SDHC,NM_003001
SDHD,NM_003002
SESN1,NM_014454
SESN2,NM_031459
SESN3,NM_144665
SETD2,NM_014159
SETD8,NM_020382
SF3B1,NM_012433
SH2B3,NM_005475
SH2D1A,NM_002351
SHOC2,NM_007373
SHQ1,NM_018130
SLX4,NM_032444
SMAD2,NM_001003652
SMAD3,NM_005902
SMAD4,NM_005359
SMARCA4,NM_003072
SMARCB1,NM_003073
SMARCD1,NM_003076
SMO,NM_005631
SMYD3,NM_001167740
SOCS1,NM_003745
SOS1,NM_005633
SOX17,NM_022454
SOX2,NM_003106
SOX9,NM_000346
SPEN,NM_015001
SPOP,NM_001007228
SPRED1,NM_152594
SRC,NM_198291
SRSF2,NM_003016
STAG2,NM_001042749
STAT3,NM_139276
STAT5A,NM_003152
STAT5B,NM_012448
STK11,NM_000455
STK19,NM_004197
STK40,NM_032017
SUFU,NM_016169
SUZ12,NM_015355
SYK,NM_003177
TAP1,NM_000593
TAP2,NM_018833
TBX3,NM_016569
TCEB1,NM_005648
TCF3,NM_001136139
TCF7L2,NM_001146274
TEK,NM_000459
TERT,NM_198253
TET1,NM_030625
TET2,NM_001127208
TGFBR1,NM_004612
TGFBR2,NM_001024847
TMEM127,NM_001193304
TMPRSS2,NM_001135099
TNFAIP3,NM_006290
TNFRSF14,NM_003820
TOP1,NM_003286
TP53,NM_000546
TP53BP1,NM_001141980
TP63,NM_003722
TRAF2,NM_021138
TRAF7,NM_032271
TSC1,NM_000368
TSC2,NM_000548
TSHR,NM_000369
U2AF1,NM_006758
UPF1,NM_002911
VEGFA,NM_001171623
VHL,NM_000551
VTCN1,NM_024626
WHSC1,NM_001042424
WHSC1L1,NM_023034
WT1,NM_024426
WWTR1,NM_001168280
XIAP,NM_001167
XPO1,NM_003400
XRCC2,NM_005431
YAP1,NM_001130145
YES1,NM_005433
ZFHX3,NM_006885
OR4F5,NM_001005484
OR4F29,NM_001005221
OR4F16,NM_001005277
SAMD11,NM_001385641
NOC2L,NM_015658
KLHL17,NM_198317
PLEKHN1,NM_032129
HES4,NM_021170
ISG15,NM_005101
AGRN,NM_198576
RNF223,NM_001205252
C1orf159,NM_017891
TTLL10,NM_001130045
TNFRSF18,NM_004195
TNFRSF4,NM_003327
SDF4,NM_016176
B3GALT6,NM_080605
C1QTNF12,NM_001014980
UBE2J2,NM_058167
SCNN1D,NM_001130413
ACAP3,NM_030649
PUSL1,NM_153339
INTS11,NM_017871
CPTP,NM_001029885
TAS1R3,NM_152228
DVL1,NM_001330311
MXRA8,NM_032348
AURKAIP1,NM_017900
CCNL2,NM_030937
MRPL20,NM_017971
ANKRD65,NM_001145210
TMEM88B,NM_001146685
VWA1,NM_022834
ATAD3C,NM_001039211
ATAD3B,NM_031921
ATAD3A,NM_001170535
TMEM240,NM_001114748
SSU72,NM_014188
FNDC10,NM_001242659
MIB2,NM_001170687
MMP23B,NM_006983
CDK11B,NM_033486
SLC35E2B,NM_001290264
CDK11A,NM_024011
NADK,NM_023018
GNB1,NM_002074
CALML6,NM_138705
TMEM52,NM_178545
CFAP74,NM_001304360
GABRD,NM_000815
PRKCZ,NM_002744
FAAP20,NM_182533
SKI,NM_003036
MORN1,NM_024848
RER1,NM_007033
PEX10,NM_002617
PLCH2,NM_014638
PANK4,NM_018216
HES5,NM_001010926
PRXL2B,NM_152371
MMEL1,NM_033467
ACTRT2,NM_080431
PRDM16,NM_022114
ARHGEF16,NM_014448
MEGF6,NM_001409
TPRG1L,NM_182752
WRAP73,NM_017818
TP73,NM_005427
CCDC27,NM_152492
SMIM1,NM_001288583
LRRC47,NM_020710
CEP104,NM_014704
DFFB,NM_004402
C1orf174,NM_207356
AJAP1,NM_018836
NPHP4,NM_015102
KCNAB2,NM_001199862
CHD5,NM_015557
RPL22,NM_000983
RNF207,NM_207396
ICMT,NM_012405
HES3,NM_001024598
GPR153,NM_207370
ACOT7,NM_007274
HES2,NM_019089
ESPN,NM_031475
TNFRSF25,NM_003790
PLEKHG5,NM_020631
NOL9,NM_024654
TAS1R1,NM_138697
ZBTB48,NM_005341
KLHL21,NM_014851
PHF13,NM_153812
THAP3,NM_001195753
DNAJC11,NM_018198
CAMTA1,NM_015215
VAMP3,NM_004781
PER3,NM_001377275
UTS2,NM_006786
TNFRSF9,NM_001561
PARK7,NM_007262
SLC45A1,NM_001080397
RERE,NM_001042681
ENO1,NM_001428
CA6,NM_001215
SLC2A7,NM_207420
SLC2A5,NM_003039
GPR157,NM_024980
H6PD,NM_004285
SPSB1,NM_025106
SLC25A33,NM_032315
TMEM201,NM_001130924
CLSTN1,NM_001009566
CTNNBIP1,NM_020248
LZIC,NM_032368
NMNAT1,NM_022787
RBP7,NM_052960
UBE4B,NM_001105562
KIF1B,NM_001365951
PGD,NM_002631
CENPS,NM_199294
CORT,NM_001302
DFFA,NM_004401
PEX14,NM_004565
CASZ1,NM_001079843
TARDBP,NM_007375
MASP2,NM_006610
SRM,NM_003132
EXOSC10,NM_001001998
ANGPTL7,NM_021146
UBIAD1,NM_013319
DISP3,NM_020780
FBXO2,NM_012168
FBXO44,NM_033182
FBXO6,NM_018438
MAD2L2,NM_006341
DRAXIN,NM_198545
AGTRAP,NM_020350
C1orf167,NM_001010881
MTHFR,NM_005957
CLCN6,NM_001286
NPPA,NM_006172
NPPB,NM_002521
KIAA2013,NM_138346
PLOD1,NM_000302
MFN2,NM_014874
MIIP,NM_021933
TNFRSF8,NM_001243
TNFRSF1B,NM_001066
VPS13D,NM_015378
DHRS3,NM_004753
AADACL4,NM_001013630
AADACL3,NM_001103170
C1orf158,NM_152290
PRAMEF12,NM_001080830
PRAMEF1,NM_023013
PRAMEF11,NM_001146344
HNRNPCL1,NM_001013631
PRAMEF2,NM_023014
PRAMEF4,NM_001009611
PRAMEF10,NM_001039361
PRAMEF6,NM_001010889
PRAMEF27,NM_001300891
HNRNPCL3,NM_001382358
HNRNPCL2,NM_001136561
PRAMEF26,NM_001306072
HNRNPCL4,NM_001302551
PRAMEF9,NM_001010890
PRAMEF13,NM_001291380
PRAMEF33,NM_001291381
PRAMEF15,NM_001098376
PRAMEF14,NM_001024661
PRAMEF17,NM_001099851
LRRC38,NM_001010847
PDPN,NM_006474
PRDM2,NM_001393986
KAZN,NM_201628
TMEM51,NM_001136218
FHAD1,NM_001391957
EFHD2,NM_024329
CTRC,NM_007272
CELA2A,NM_033440
CELA2B,NM_015849
CASP9,NM_001229
DNAJC16,NM_015291
AGMAT,NM_024758
DDI2,NM_032341
RSC1A1,NM_006511
PLEKHM2,NM_015164
SLC25A34,NM_207348
TMEM82,NM_001013641
FBLIM1,NM_017556
ZBTB17,NM_003443
SRARP,NM_178840
HSPB7,NM_014424
CLCNKA,NM_004070
CLCNKB,NM_000085
FAM131C,NM_182623
EPHA2,NM_004431
ARHGEF19,NM_153213
CPLANE2,NM_030907
FBXO42,NM_018994
SZRD1,NM_001114600
SPATA21,NM_198546
NECAP2,NM_018090
CROCC,NM_014675
MFAP2,NM_002403
ATP13A2,NM_022089
PADI2,NM_007365
PADI1,NM_013358
PADI3,NM_016233
PADI4,NM_012387
PADI6,NM_207421
RCC2,NM_018715
ARHGEF10L,NM_018125
ACTL8,NM_030812
IGSF21,NM_032880
KLHDC7A,NM_152375
PAX7,NM_001135254
ALDH4A1,NM_003748
IFFO2,NM_001136265
UBR4,NM_020765
EMC1,NM_015047
MRTO4,NM_016183
AKR7A3,NM_012067
AKR7A2,NM_003689
SLC66A1,NM_001040125
CAPZB,NM_004930
MICOS10,NM_001032363
NBL1,NM_005380
HTR6,NM_000871
TMCO4,NM_181719
RNF186,NM_019062
OTUD3,NM_015207
PLA2G2E,NM_014589
PLA2G5,NM_000929
PLA2G2D,NM_012400
PLA2G2F,NM_022819
PLA2G2C,NM_001367969
UBXN10,NM_152376
VWA5B1,NM_001039500
CAMK2N1,NM_018584
MUL1,NM_024544
FAM43B,NM_207334
CDA,NM_001785
PINK1,NM_032409
DDOST,NM_005216
KIF17,NM_001122819
SH2D5,NM_001103161
HP1BP3,NM_001372052
EIF4G3,NM_001391906
ECE1,NM_001397
NBPF3,NM_032264
ALPL,NM_000478
RAP1GAP,NM_002885
USP48,NM_032236
LDLRAD2,NM_001013693
HSPG2,NM_005529
CELA3B,NM_007352
CELA3A,NM_005747
WNT4,NM_030761
ZBTB40,NM_014870
EPHA8,NM_020526
C1QA,NM_015991
C1QC,NM_172369
C1QB,NM_001378156
EPHB2,NM_017449
TEX46,NM_001242521
KDM1A,NM_001009999
HTR1D,NM_000864
HNRNPR,NM_005826
ZNF436,NM_001077195
TCEA3,NM_003196
ASAP3,NM_017707
E2F2,NM_004091
RPL11,NM_000975
ELOA,NM_003198
PITHD1,NM_020362
LYPLA2,NM_007260
GALE,NM_001008216
HMGCL,NM_000191
FUCA1,NM_000147
CNR2,NM_001841
PNRC2,NM_017761
SRSF10,NM_054016
MYOM3,NM_152372
IL22RA1,NM_021258
IFNLR1,NM_170743
GRHL3,NM_198173
STPG1,NM_001199013
NIPAL3,NM_020448
RCAN3,NM_013441
NCMAP,NM_001010980
SRRM1,NM_005839
CLIC4,NM_013943
RUNX3,NM_004350
SYF2,NM_015484
RSRP1,NM_020317
RHD,NM_016124
TMEM50A,NM_014313
RHCE,NM_020485
MACO1,NM_018202
LDLRAP1,NM_015627
MAN1C1,NM_020379
SELENON,NM_020451
MTFR1L,NM_001099625
AUNIP,NM_024037
PAQR7,NM_178422
STMN1,NM_005563
PAFAH2,NM_000437
EXTL1,NM_004455
SLC30A2,NM_001004434
TRIM63,NM_032588
PDIK1L,NM_152835
FAM110D,NM_024869
C1orf232,NM_001364669
ZNF593,NM_015871
CNKSR1,NM_006314
CATSPER4,NM_198137
CEP85,NM_001319944
SH3BGRL3,NM_031286
UBXN11,NM_001389556
CD52,NM_001803
CRYBG2,NM_001039775
ZNF683,NM_001114759
LIN28A,NM_024674
DHDDS,NM_205861
HMGN2,NM_005517
RPS6KA1,NM_002953
PIGV,NM_017837
ZDHHC18,NM_032283
SFN,NM_006142
GPN2,NM_018066
GPATCH3,NM_022078
NUDC,NM_006600
NR0B2,NM_021969
KDF1,NM_152365
TRNP1,NM_001013642
TENT5B,NM_052943
SLC9A1,NM_003047
WDTC1,NM_001276252
TMEM222,NM_032125
SYTL1,NM_001193308
MAP3K6,NM_004672
FCN3,NM_003665
CD164L2,NM_001330448
GPR3,NM_005281
WASF2,NM_006990
AHDC1,NM_001371928
FGR,NM_005248
IFI6,NM_002038
FAM76A,NM_152660
STX12,NM_177424
PPP1R8,NM_014110
THEMIS2,NM_001105556
RPA2,NM_002946
SMPDL3B,NM_014474
XKR8,NM_018053
EYA3,NM_001990
PTAFR,NM_000952
DNAJC8,NM_014280
ATP5IF1,NM_016311
MED18,NM_017638
PHACTR4,NM_001048183
RCC1,NM_001381865
TRNAU1AP,NM_017846
TAF12,NM_005644
RAB42,NM_001193532
GMEB1,NM_001319674
YTHDF2,NM_016258
OPRD1,NM_000911
EPB41,NM_001376013
TMEM200B,NM_001003682
SRSF4,NM_005626
MECR,NM_016011
PTPRU,NM_133178
MATN1,NM_002379
LAPTM5,NM_006762
SDC3,NM_014654
PUM1,NM_001020658
NKAIN1,NM_024522
SNRNP40,NM_004814
ZCCHC17,NM_016505
FABP3,NM_004102
SERINC2,NM_178865
TINAGL1,NM_022164
HCRTR1,NM_001525
PEF1,NM_012392
COL16A1,NM_001856
ADGRB2,NM_001364857
SPOCD1,NM_144569
PTP4A2,NM_080391
KHDRBS1,NM_006559
TMEM39B,NM_018056
KPNA6,NM_012316
TXLNA,NM_175852
CCDC28B,NM_024296
IQCC,NM_018134
DCDC2B,NM_001099434
TMEM234,NM_019118
FAM167B,NM_032648
LCK,NM_005356
HDAC1,NM_004964
MARCKSL1,NM_023009
TSSK3,NM_052841
FAM229A,NM_001167676
BSDC1,NM_018045
ZBTB8B,NM_001145720
ZBTB8A,NM_001040441
ZBTB8OS,NM_178547
RBBP4,NM_005610
SYNC,NM_030786
KIAA1522,NM_020888
YARS1,NM_003680
S100PBP,NM_022753
FNDC5,NM_153756
HPCA,NM_002143
TMEM54,NM_033504
RNF19B,NM_001300826
AK2,NM_001625
AZIN2,NM_052998
TRIM62,NM_018207
ZNF362,NM_152493
A3GALT2,NM_001080438
PHC2,NM_001385109
ZSCAN20,NM_001377376
CSMD2,NM_001281956
HMGB4,NM_001379301
C1orf94,NM_001134734
SMIM12,NM_138428
GJB5,NM_005268
GJB4,NM_153212
GJB3,NM_024009
GJA4,NM_002060
DLGAP3,NM_001080418
ZMYM6,NM_007167
ZMYM1,NM_024772
SFPQ,NM_005066
ZMYM4,NM_005095
KIAA0319L,NM_024874
NCDN,NM_014284
TFAP2E,NM_178548
PSMB2,NM_002794
C1orf216,NM_152374
CLSPN,NM_022111
AGO4,NM_017629
AGO1,NM_012199
AGO3,NM_024852
TEKT2,NM_014466
ADPRS,NM_017825
COL8A2,NM_005202
TRAPPC3,NM_014408
MAP7D1,NM_001388490
THRAP3,NM_005119
SH3D21,NM_001162530
EVA1B,NM_001304762
LSM10,NM_032881
OSCP1,NM_145047
MRPS15,NM_031280
GRIK3,NM_000831
ZC3H12A,NM_025079
MEAF6,NM_001270875
SNIP1,NM_024700
DNALI1,NM_003462
GNL2,NM_013285
RSPO1,NM_001242908
C1orf109,NM_001350770
CDCA8,NM_001256875
EPHA10,NM_001099439
MANEAL,NM_001113482
YRDC,NM_024640
C1orf122,NM_198446
MTF1,NM_005955
INPP5B,NM_005540
SF3A3,NM_006802
FHL3,NM_004468
UTP11,NM_016037
POU3F1,NM_002699
MYCBP,NM_012333
GJA9,NM_030772
RHBDL2,NM_017821
AKIRIN1,NM_024595
NDUFS5,NM_004552
MACF1,NM_001394062
BMP8A,NM_181809
PABPC4,NM_001135653
HEYL,NM_014571
NT5C1A,NM_032526
HPCAL4,NM_016257
PPIE,NM_006112
BMP8B,NM_001720
OXCT2,NM_022120
TRIT1,NM_017646
MYCL,NM_001033081
MFSD2A,NM_032793
CAP1,NM_006367
PPT1,NM_000310
RLF,NM_012421
TMCO2,NM_001008740
ZMPSTE24,NM_005857
COL9A2,NM_001852
SMAP2,NM_022733
ZFP69B,NM_023070
ZFP69,NM_001320179
EXO5,NM_001346953
ZNF684,NM_152373
RIMS3,NM_014747
NFYC,NM_014223
KCNQ4,NM_004700
CITED4,NM_133467
CTPS1,NM_001905
SLFNL1,NM_144990
EDN2,NM_001956
HIVEP3,NM_024503
GUCA2B,NM_007102
GUCA2A,NM_033553
FOXJ3,NM_014947
RIMKLA,NM_173642
ZMYND12,NM_032257
PPCS,NM_024664
PPIH,NM_006347
YBX1,NM_004559
CLDN19,NM_148960
P3H1,NM_022356
C1orf50,NM_024097
TMEM269,NM_001354602
SVBP,NM_199342
ERMAP,NM_001017922
ZNF691,NM_001242739
SLC2A1,NM_006516
FAM183A,NM_001101376
EBNA1BP2,NM_006824
CFAP57,NM_001378189
TMEM125,NM_144626
C1orf210,NM_182517
TIE1,NM_005424
CDC20,NM_001255
ELOVL1,NM_022821
MED8,NM_201542
SZT2,NM_001365999
HYI,NM_001190880
PTPRF,NM_002840
KDM4A,NM_014663
ST3GAL3,NM_006279
ARTN,NM_057091
IPO13,NM_014652
DPH2,NM_001384
ATP6V0B,NM_004047
B4GALT2,NM_003780
CCDC24,NM_152499
SLC6A9,NM_001024845
KLF17,NM_173484
KLF18,NM_001358438
DMAP1,NM_019100
ERI3,NM_024066
RNF220,NM_018150
TMEM53,NM_024587
ARMH1,NM_001145636
KIF2C,NM_006845
RPS8,NM_001012
BEST4,NM_153274
PLK3,NM_004073
DYNLT4,NM_001377534
PTCH2,NM_003738
EIF2B3,NM_020365
HECTD3,NM_024602
UROD,NM_000374
ZSWIM5,NM_020883
HPDL,NM_032756
TOE1,NM_025077
TESK2,NM_007170
CCDC163,NM_001102601
MMACHC,NM_015506
PRDX1,NM_181697
AKR1A1,NM_153326
NASP,NM_002482
CCDC17,NM_001114938
GPBP1L1,NM_021639
TMEM69,NM_016486
IPP,NM_005897
MAST2,NM_015112
TSPAN1,NM_005727
P3R3URF,NM_001328655
POMGNT1,NM_017739
LURAP1,NM_001013615
LRRC41,NM_006369
UQCRH,NM_006004
NSUN4,NM_199044
FAAH,NM_001441
DMBX1,NM_172225
KNCN,NM_001322255
MKNK1,NM_001135553
MOB3C,NM_201403
TEX38,NM_001145474
EFCAB14,NM_014774
CYP4B1,NM_001099772
CYP4A11,NM_000778
CYP4X1,NM_178033
CYP4Z1,NM_178134
CYP4A22,NM_001010969
PDZK1IP1,NM_005764
STIL,NM_001048166
CMPK1,NM_016308
FOXE3,NM_012186
FOXD2,NM_004474
TRABD2B,NM_001194986
SLC5A9,NM_001011547
SPATA6,NM_019073
AGBL4,NM_032785
BEND5,NM_024603
ELAVL4,NM_001144774
DMRTA2,NM_032110
FAF1,NM_007051
C1orf185,NM_001136508
RNF11,NM_014372
TTC39A,NM_001297663
EPS15,NM_001981
OSBPL9,NM_024586
NRDC,NM_001101662
RAB3B,NM_002867
TXNDC12,NM_015913
KTI12,NM_138417
BTF3L4,NM_152265
ZFYVE9,NM_004799
CC2D1B,NM_001330585
ORC1,NM_004153
PRPF38A,NM_032864
TUT4,NM_001009881
GPX7,NM_015696
SHISAL2A,NM_001042693
COA7,NM_023077
ZYG11B,NM_024646
ZYG11A,NM_001004339
ECHDC2,NM_001198961
SCP2,NM_002979
PODN,NM_153703
SLC1A7,NM_006671
CPT2,NM_000098
CZIB,NM_017887
MAGOH,NM_002370
LRP8,NM_004631
DMRTB1,NM_033067
GLIS1,NM_001367484
NDC1,NM_018087
YIPF1,NM_018982
DIO1,NM_000792
HSPB11,NM_016126
LRRC42,NM_001256409
LDLRAD1,NM_001010978
TMEM59,NM_004872
TCEANC2,NM_153035
CYB5RL,NM_001031672
MRPL37,NM_016491
ACOT11,NM_147161
FAM151A,NM_176782
MROH7,NM_001039464
TTC4,NM_004623
PARS2,NM_152268
TTC22,NM_001114108
LEXM,NM_001110533
DHCR24,NM_014762
TMEM61,NM_182532
BSND,NM_057176
PCSK9,NM_174936
USP24,NM_015306
PLPP3,NM_003713
PRKAA2,NM_006252
FYB2,NM_001004303
C8A,NM_000562
C8B,NM_000066
DAB1,NM_001365792
OMA1,NM_145243
TACSTD2,NM_002353
MYSM1,NM_001085487
FGGY,NM_018291
HOOK1,NM_015888
CYP2J2,NM_000775
C1orf87,NM_152377
NFIA,NM_001134673
TM2D1,NM_032027
PATJ,NM_001350145
L1TD1,NM_019079
KANK4,NM_181712
USP1,NM_003368
DOCK7,NM_001367561
ANGPTL3,NM_014495
ATG4C,NM_032852
FOXD3,NM_012183
ALG6,NM_013339
ITGB3BP,NM_014288
